fecha,anho,mes,dia,dia_semana,festivo
01/01/2015,2015,01,1,5,0
02/01/2015,2015,01,2,6,0
03/01/2015,2015,01,3,7,0
04/01/2015,2015,01,4,1,0
05/01/2015,2015,01,5,2,0
06/01/2015,2015,01,6,3,0
07/01/2015,2015,01,7,4,0
08/01/2015,2015,01,8,5,0
09/01/2015,2015,01,9,6,0
10/01/2015,2015,01,10,7,0
11/01/2015,2015,01,11,1,0
12/01/2015,2015,01,12,2,0
13/01/2015,2015,01,13,3,0
14/01/2015,2015,01,14,4,0
15/01/2015,2015,01,15,5,0
16/01/2015,2015,01,16,6,0
17/01/2015,2015,01,17,7,0
18/01/2015,2015,01,18,1,0
19/01/2015,2015,01,19,2,0
20/01/2015,2015,01,20,3,0
21/01/2015,2015,01,21,4,0
22/01/2015,2015,01,22,5,0
23/01/2015,2015,01,23,6,0
24/01/2015,2015,01,24,7,0
25/01/2015,2015,01,25,1,0
26/01/2015,2015,01,26,2,0
27/01/2015,2015,01,27,3,0
28/01/2015,2015,01,28,4,0
29/01/2015,2015,01,29,5,0
30/01/2015,2015,01,30,6,0
31/01/2015,2015,01,31,7,0
01/02/2015,2015,02,1,1,0
02/02/2015,2015,02,2,2,0
03/02/2015,2015,02,3,3,0
04/02/2015,2015,02,4,4,0
05/02/2015,2015,02,5,5,0
06/02/2015,2015,02,6,6,0
07/02/2015,2015,02,7,7,0
08/02/2015,2015,02,8,1,0
09/02/2015,2015,02,9,2,0
10/02/2015,2015,02,10,3,0
11/02/2015,2015,02,11,4,0
12/02/2015,2015,02,12,5,0
13/02/2015,2015,02,13,6,0
14/02/2015,2015,02,14,7,0
15/02/2015,2015,02,15,1,0
16/02/2015,2015,02,16,2,0
17/02/2015,2015,02,17,3,0
18/02/2015,2015,02,18,4,0
19/02/2015,2015,02,19,5,0
20/02/2015,2015,02,20,6,0
21/02/2015,2015,02,21,7,0
22/02/2015,2015,02,22,1,0
23/02/2015,2015,02,23,2,0
24/02/2015,2015,02,24,3,0
25/02/2015,2015,02,25,4,0
26/02/2015,2015,02,26,5,0
27/02/2015,2015,02,27,6,0
28/02/2015,2015,02,28,7,0
01/03/2015,2015,03,1,1,0
02/03/2015,2015,03,2,2,0
03/03/2015,2015,03,3,3,0
04/03/2015,2015,03,4,4,0
05/03/2015,2015,03,5,5,0
06/03/2015,2015,03,6,6,0
