anho,mes,dia,dia_semana,festivo
2014,01,1,4,0
2014,01,2,5,0
2014,01,3,6,0
2014,01,4,7,0
2014,01,5,1,0
2014,01,6,2,0
2014,01,7,3,0
2014,01,8,4,0
2014,01,9,5,0
2014,01,10,6,0
2014,01,11,7,0
2014,01,12,1,0
2014,01,13,2,0
2014,01,14,3,0
2014,01,15,4,0
2014,01,16,5,0
2014,01,17,6,0
2014,01,18,7,0
2014,01,19,1,0
2014,01,20,2,0
2014,01,21,3,0
2014,01,22,4,0
2014,01,23,5,0
2014,01,24,6,0
2014,01,25,7,0
2014,01,26,1,0
2014,01,27,2,0
2014,01,28,3,0
2014,01,29,4,0
2014,01,30,5,0
2014,01,31,6,0
2014,02,1,7,0
2014,02,2,1,0
2014,02,3,2,0
2014,02,4,3,0
2014,02,5,4,0
2014,02,6,5,0
2014,02,7,6,0
2014,02,8,7,0
2014,02,9,1,0
2014,02,10,2,0
2014,02,11,3,0
2014,02,12,4,0
2014,02,13,5,0
2014,02,14,6,0
2014,02,15,7,0
2014,02,16,1,0
2014,02,17,2,0
2014,02,18,3,0
2014,02,19,4,0
2014,02,20,5,0
2014,02,21,6,0
2014,02,22,7,0
2014,02,23,1,0
2014,02,24,2,0
2014,02,25,3,0
2014,02,26,4,0
2014,02,27,5,0
2014,02,28,6,0
2014,03,1,7,0
2014,03,2,1,0
2014,03,3,2,0
2014,03,4,3,0
2014,03,5,4,0
2014,03,6,5,0
2014,03,7,6,0
2014,03,8,7,0
2014,03,9,1,0
2014,03,10,2,0
2014,03,11,3,0
2014,03,12,4,0
2014,03,13,5,0
2014,03,14,6,0
2014,03,15,7,0
2014,03,16,1,0
2014,03,17,2,0
2014,03,18,3,0
2014,03,19,4,0
2014,03,20,5,0
2014,03,21,6,0
2014,03,22,7,0
2014,03,23,1,0
2014,03,24,2,0
2014,03,25,3,0
2014,03,26,4,0
2014,03,27,5,0
2014,03,28,6,0
2014,03,29,7,0
2014,03,30,1,0
2014,03,31,2,0
2014,04,1,3,0
2014,04,2,4,0
2014,04,3,5,0
2014,04,4,6,0
2014,04,5,7,0
2014,04,6,1,0
2014,04,7,2,0
2014,04,8,3,0
2014,04,9,4,0
2014,04,10,5,0
2014,04,11,6,0
2014,04,12,7,0
2014,04,13,1,0
2014,04,14,2,0
2014,04,15,3,0
2014,04,16,4,0
2014,04,17,5,0
2014,04,18,6,0
2014,04,19,7,0
2014,04,20,1,0
2014,04,21,2,0
2014,04,22,3,0
2014,04,23,4,0
2014,04,24,5,0
2014,04,25,6,0
2014,04,26,7,0
2014,04,27,1,0
2014,04,28,2,0
2014,04,29,3,0
2014,04,30,4,0
2014,05,1,5,0
2014,05,2,6,0
2014,05,3,7,0
2014,05,4,1,0
2014,05,5,2,0
2014,05,6,3,0
2014,05,7,4,0
2014,05,8,5,0
2014,05,9,6,0
2014,05,10,7,0
2014,05,11,1,0
2014,05,12,2,0
2014,05,13,3,0
2014,05,14,4,0
2014,05,15,5,0
2014,05,16,6,0
2014,05,17,7,0
2014,05,18,1,0
2014,05,19,2,0
2014,05,20,3,0
2014,05,21,4,0
2014,05,22,5,0
2014,05,23,6,0
2014,05,24,7,0
2014,05,25,1,0
2014,05,26,2,0
2014,05,27,3,0
2014,05,28,4,0
2014,05,29,5,0
2014,05,30,6,0
2014,05,31,7,0
2014,06,1,1,0
2014,06,2,2,0
2014,06,3,3,0
2014,06,4,4,0
2014,06,5,5,0
2014,06,6,6,0
2014,06,7,7,0
2014,06,8,1,0
2014,06,9,2,0
2014,06,10,3,0
2014,06,11,4,0
2014,06,12,5,0
2014,06,13,6,0
