date_holiday,holiday
01/01/2014,New Year's Day 
25/01/2014,Robert Burns Night (Burns Night)  
27/01/2014,Holocaust Memorial Day  
14/02/2014,Valentines Day  
17/02/2014,Shrove Tuesday (Pancake Day)  
18/02/2014,Ash Wednesday 
01/03/2014,St David's Day  
15/03/2014,Mothering Sunday (Mothers Day)  
17/03/2014,St Patricks Day 
29/03/2014,British Summertime (BST) Begins  
01/04/2014,April Fool's Day  
02/04/2014,Maundy Thursday 
03/04/2014,Good Friday 
05/04/2014,Easter Sunday 
06/04/2014,Easter Monday 
21/04/2014,Queen Elizabeth's Birthday  
23/04/2014,St George's Day 
04/05/2014,May Day (Early May Holiday) 
25/05/2014,Spring Holiday 
14/06/2014,Trooping the Colour  
21/06/2014,Father's Day  
14/07/2014,Emmeline Pankhurst Day  
15/07/2014,St.Swithun's Day (aka St. Swithin's) 
31/08/2014,Summer Holiday 
25/10/2014,British Summertime (BST) Ends  
31/10/2014,Halloween  
01/11/2014,All Saints Day 
05/11/2014,Guy Fawkes Night  
08/11/2014,Remembrance Day (Remembrance Sunday)  
30/11/2014,St Andrew's Day 
25/12/2014,Christmas 
28/12/2014,Boxing Day 
